,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,white,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,5.0
1,white,7.2,0.23,0.32,8.5,0.057999999999999996,47,186,0.9956,3.19,0.4,9.9,5.0
2,white,7.2,0.23,0.32,8.5,0.057999999999999996,47,186,0.9956,3.19,0.4,9.9,5.0
3,white,8.1,0.22,0.43,1.5,0.044000000000000004,28,129,0.9938,3.22,0.45,11.0,5.0
4,white,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12.0,6.0
5,white,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5.0
6,white,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5.0
7,white,6.6,0.16,0.4,1.5,0.044000000000000004,48,143,0.9912,3.54,0.52,12.4,5.0
8,white,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5.0
9,white,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,5.0
